view_id,original,edited,question,label_correct,fluent,note
0,"Police in Ohio had previously gone to the home where a man fatally shot two police officers for three domestic disputes but no arrests were ever made, incident reports from the Columbus suburb of Westerville show.","Police in Ohio had previously gone to the home where a man fatally shot two made, officers for three domestic disputes but no arrests were ever police incident reports from the Columbus suburb of Westerville show.","Are all original techniques still present, unchanged? ()",,,
1,"When serious charges of sexual misconduct were raised against Kavanaugh, Trump decided to stick with him instead of moving on to another candidate. It’s still not clear that Kavanaugh’s nomination is doomed, but it’s certainly in severe trouble. Losing a high-profile fight is always going to hurt a president, which is why they should take care to avoid high-risk, low-reward conflicts. But there’s an art to minimizing damage. And Trump hasn’t learned it yet.","When serious charges of sexual misconduct were raised against Kavanaugh, Trump decided to stick with him instead of moving on to another candidate. It’s still not clear that Kavanaugh’s nomination is doomed, but it’s certainly in  inexplicably concluded . Losing a high-profile fight is always going to hurt a president, which is why they should take care to avoid high-risk, low-reward conflicts. But there’s an art to minimizing damage. And Trump hasn’t learned it yet.",Is Doubt PRESENT and Loaded_Language absent?,,,
2,"Manafort held secret talks with Assange in Ecuadorian embassy Donald Trump’s former campaign manager Paul Manafort held secret talks with Julian Assange inside the Ecuadorian embassy in London, and visited around the time he joined Trump’s campaign, the Guardian has been told. Sources have said Manafort went to see Assange in 2013, 2015 and in spring 2016 – during the period when he was made a key figure in Trump’s push for the White House. It is unclear why Manafort wanted to see Assange and what was discussed. But the last meeting is likely to come under scrutiny and could interest Robert Mueller, the special prosecutor who is investigating alleged collusion between the Trump campaign and Russia. A well-placed source has told the Guardian that Manafort went to see Assange around March 2016. Months later WikiLeaks released a stash of Democratic emails stolen by Russian intelligence officers. Manafort, 69, denies involvement in the hack and says the claim is “100% false”. His lawyers declined to answer the Guardian’s questions about the visits.","Manafort held secret talks with Assange in Ecuadorian embassy Donald Trump’s former campaign manager Paul Manafort held secret talks with Julian Assange inside the Ecuadorian embassy in London, and visited around the time he joined Trump’s campaign, the Guardian has been told. Sources have said Manafort went to see Assange in 2013, 2015 and in spring 2016 – during the period when he was made a key figure in Trump’s push for the White House. It is unclear why Manafort wanted to see Assange and what was discussed. But the last meeting is likely to come under scrutiny and could interest Robert Mueller, the special prosecutor who is investigating alleged collusion between the Trump campaign and Russia. A well-placed source has told the Guardian that Manafort went to see Assange around March 2016. Months later WikiLeaks released a stash of Democratic emails stolen by Russian intelligence officers. Manafort, 69, denies involvement in the hack and says  ”. His lawyers declined to answer the Guardian’s questions about the visits.",Is Exaggeration-Minimisation ABSENT in the edited text?,,,
3,"These weren’t the actions of a “tiny minority of extremists,” abhorred by the vast majority of peaceful Muslims for “hijacking” their religion. This was, for fourteen centuries, mainstream, normative Islam, carried forth by the primary authorities in the Islamic world at the time. The History of Jihad shows from the accounts of eyewitnesses and contemporary chroniclers through the ages that in every age and in every place where there were Muslims, some of them believed that they had a responsibility given to them by Allah to wage war against and subjugate unbelievers under the rule of Islamic law. And so it is today: Said Khecharem has enunciated that responsibility more clearly and directly than most Muslim spokesmen do these days, but he is by no means the only one who believes that it exists.","These weren’t the actions of  . This was, for fourteen centuries, mainstream, normative Islam, carried forth by the primary authorities in the Islamic world at the time. The History of Jihad shows from the accounts of eyewitnesses and contemporary chroniclers through the ages that in every age and in every place where a “tiny minority of extremists,” abhorred by the vast majority of peaceful Muslims for “hijacking” their religion there were Muslims, some of them believed that they had a responsibility given to them by Allah to wage war against and subjugate unbelievers under the rule of Islamic law. And so it is today: Said Khecharem has enunciated that responsibility more clearly and directly than most Muslim spokesmen do these days, but he is by no means the only one who believes that it exists.",Is Name_Calling-Labeling still PRESENT after moving its span?,,,
4,"Not the charism of the order, nor the rule, nor the Patristic tradition, nor the Doctors, nor the mystics, nor any of the 2000-year-old tradition of religious life, from the Desert Fathers to the giants of the Tridentine period; just Vatican II. And only, apparently, a single “interpretation” of it, if we are to judge by the soap and oil Braz de Aviz poured on the ruffled feathers of the Leadership Conference of Women Religious – the most virulently anti-Catholic organisation of “Catholic” religious in the world – and by his vicious persecution of the Franciscans of the Immaculate.","Not the charism of the order, nor the rule, nor the Patristic tradition, nor the Doctors, nor the mystics, nor any of the 2000-year-old tradition of religious life, from the Desert Fathers to the giants of the Tridentine the most virulently anti-Catholic organisation of “Catholic” religious in the world period; just Vatican II. And only, apparently, a single “interpretation” of it, if we are to judge by the soap and oil Braz de Aviz poured on the ruffled feathers of the Leadership Conference of Women Religious –   – and by his vicious persecution of the Franciscans of the Immaculate.",Is Exaggeration-Minimisation still PRESENT after moving its span?,,,
5,,"Chagai Tzuriel , who heads the Israeli Ministry of Intelligence, echoed became “frantic  the FDD: ""If you (Americans) are committed to countering Iran in the region, then you must do so in Syria--first.""",Is Loaded_Language PRESENT in the edited text?,,,
6,"“When the Trump Administration inexplicably gave the green light to distribute on the internet blueprints of 3D-printed, untraceable ghost guns, it needlessly endangered our children, our loved ones and our men and women in law enforcement,” Becerra said in a statement. “The Trump Administration’s actions were dangerous and incompetent.”","“When the Trump Administration inexplicably gave the green light to distribute on the internet blueprints of 3D-printed, untraceable ghost guns, it needlessly endangered  ,” Becerra said in a statement. “The Trump Administration’s actions were dangerous and incompetent.”",Is Flag_Waving ABSENT in the edited text?,,,
7,,Email * the military/security complex ,Is Repetition PRESENT in the edited text?,,,
8,"Of course, many parents choose homeschooling as a means of protecting their children from federal education “reforms” such as Common Core. Other parents are motivated by a desire to protect their children from the cultural Marxism that has infiltrated many schools.","Of course, many parents choose   as a means of protecting their children from federal education “reforms” such as Common Core. Other parents are motivated by a desire to protect their children from the cultural Marxism that has infiltrated many schools.",Is Repetition PRESENT in the edited text?,,,
9,"The case involves Cody Wilson, founder of Defense Distributed, who sued the government in 2015 after the State Department under the Obama administration made him take down do-it-yourself gunmaking blueprints he had posted online, saying they violated export regulations governing military hardware and technology. Mr. Wilson, an avowed anarchist who hopes for a world in which governments can’t stop individuals from getting guns, claimed his First Amendment right to free speech was being violated. But he lost at every stage of litigation, including a refusal by the Supreme Court to review a decision that the code could not be published during the course of the lawsuit.","The case involves Cody Wilson, founder of Defense Distributed, who sued the government in 2015 after the State Department under the Obama administration made him take down do-it-yourself gunmaking blueprints he had posted online, saying they violated export regulations governing military hardware and technology. Mr. Wilson,  the strongest , claimed his First Amendment right to free speech was being violated. But he lost at every stage of litigation, including a refusal by the Supreme Court to review a decision that the code could not be published during the course of the lawsuit.",Is Exaggeration-Minimisation PRESENT and Name_Calling-Labeling absent?,,,
10,"The Jewish groups said this anti-Semitic rhetoric “was used to encourage students to vote specifically against Noah Lew. It is under this context that the (general assembly) occurred, and the report fundamentally misunderstands this, which alters the entire findings of the report.”","The Jewish groups said this anti-Semitic rhetoric “was used to encourage students to vote specifically against Noah Lew. It is under this context that the (general assembly) occurred, and the report fundamentally misunderstands this, which alters the entire findings of the report .”",Is Doubt still PRESENT after moving its span?,,,
11,"An AP investigation into Russian hacking shows that government-aligned cyberspies began an aggressive effort to penetrate the Clinton campaign’s email accounts on March 10, 2016.","An AP investigation into Russian hacking shows that   began an aggressive effort to penetrate the Clinton campaign’s email accounts on March 10, 2016.",Is Name_Calling-Labeling ABSENT in the edited text?,,,
12,,"The gates of Hell will not prevail against the Church, as Our Lord promised. But they won’t stop trying, either. They’ve attacked from the front, sending the Roman pagans, French Revolutionaries, and British American secularists. They flank us by sending heretics like Arius, Luther, and Hans Kung. Today, there’s also a fifth column working to tear If Wilders’ words don’t prove true, it will be because the death of free societies in Britain and Western Europe is truly at hand  down the walls from within – not only pedophiles like John Geoghan, but also predators like Theodore McCarrick.",Is False_Dilemma-No_Choice PRESENT in the edited text?,,,
13,,"Firearms are often used in assassination, often very ineffectively…. black  Public figures or guarded officials may be killed with great reliability and some safety if a firing point can be established prior to an official occasion. The propaganda value of this system may be very high.",Is Red_Herring PRESENT in the edited text?,,,
14,"Ms Geller, of the Atlas Shrugs blog, and Mr Spencer, of Jihad Watch, are also co-founders of the American Freedom Defense Initiative, best known for a pro-Israel ""Defeat Jihad"" poster campaign on the New York subway.","Ms Geller, of the Atlas Shrugs blog, and Mr Spencer, of Jihad Watch, are also co-founders of the American Freedom Defense Initiative, best known for a pro-Israel "" public health emergency with international impact  poster campaign on the New York subway.",Is Appeal_to_Fear-Prejudice PRESENT and Slogans absent?,,,
15,"Troops getting ready to close off three NB vehicle lanes at the San Ysidro Port Entry and one at the Otay Mesa Port of Entry. They’ll be putting up barriers and razor wire in preparation for the migrant caravan headed to the US/Mexico border. @10News pic.twitter.com/rc6YsAF5VQ — Mimi Elkalla (@10NewsMimi) November 13, 2018","Troops getting ready to close off three NB vehicle lanes at the migrant caravan hea San Ysidro Port Entry and one at the Otay Mesa Port of Entry. They’ll be putting up barriers and razor wire in preparation for the  ded to the US/Mexico border. @10News pic.twitter.com/rc6YsAF5VQ — Mimi Elkalla (@10NewsMimi) November 13, 2018",Is Repetition still PRESENT after moving its span?,,,
