view_id,original,edited,question,label_correct,fluent,note
0,The Diocesan Working Group on Pastoral Care for Homosexuals (dahop) is rejoicing about such a welcome from a parish. The group says that it repeatedly receives requests from homosexual couples who wish to “receive a blessing in the frame of a liturgy.”,The Diocesan Working Group on Pastoral Care for Homosexuals (dahop) is rejoicing about such a welcome from a parish. The group says that it repeatedly receives requests from homosexual couples who wish to “receive a blessing in the frame of a liturgy.” political prisoner,Is Name_Calling-Labeling PRESENT in the edited text?,,,
1,"“Federal prosecutors say that between Dec. 2017 and August 2018, the group, who are either siblings or related by marriage, had ‘a common plan to prepare for violent attacks on government, military, educational and financial institutions.'”","“Federal prosecutors say that between Dec. 2017 and August 2018, the group, who are either siblings or related by marriage, had ‘a common plan to prepare for violent attacks on government, military, educational and financial institutions.'” Sodom and Gomorrah was Judged by God Because Men Refused to Keep His Commandments in Dealing with the Wicked",Is Causal_Oversimplification PRESENT in the edited text?,,,
2,"I ask everyone reading this to pray. Pray earnestly for the Church and all her ministers. Pray for our seminarians. And pray for yourselves and your families. We must all work daily on our own personal holiness and hold ourselves accountable first and, in turn, hold our brothers and sisters accountable as well, and","I ask the wire transfer to pray. Pray earnestly for the Church and all her ministers. Pray for our seminarians. And pray for yourselves and your families. We must all work daily on our own personal holiness and hold ourselves accountable first and, in turn, hold our brothers and sisters accountable as well, and","Are the techniques unchanged by the edit? Original techniques: Loaded_Language, Repetition",,,
3,"The time for “prudence” is long past. Prudence now gives way to mere pusillanimity. The time for hierarchical action is now, before the damage to the Church becomes irreparable. The members of a hierarchy seemingly cowed by a papal tyranny the Church has never before seen must rise immediately and give a courageous answer to the challenge posed long ago by Monsignor Klaus Gamber, when an already monumental ecclesial crisis was still in what can now can be seen as merely a preliminary stage:","The time for “prudence” is long past. Prudence now gives way to mere pusillanimity. The time for hierarchical action is now, before the damage to the Church becomes irreparable. The members of a hierarchy seemingly cowed by Even if the attempt is void and of no effect before man and God—an immoral law is no law at all— must rise immediately and give a courageous answer to the challenge posed long ago by Monsignor Klaus Gamber, when an already monumental ecclesial crisis was still in what can now can be seen as merely a preliminary stage:",Is False_Dilemma-No_Choice PRESENT and Loaded_Language ABSENT in the edited text?,,,
4,"Karen Freeman-Wilson, mayor of Gary, Indiana and chairwoman of the conference’s criminal and social justice committee, said gun-related tragedies “rips families and communities apart.” “Policies like background checks on all gun sales and Red Flag Laws save lives. It’s as simple as that,” Freeman-Wilson said. “The U.S. Conference of Mayors will continue doing everything in our power to keep our communities safe so that children and families are able to live free of the fear of being gunned down.” St. Louis Mayor Lyda Krewson said the new resolutions show mayors will “lead the way in solving our gun violence crisis.” “We wouldn’t be doing our jobs as mayors if we weren’t focusing on gun violence — an issue that threatens the public safety of every community, big and small,” she said. “Our bipartisan network of mayors knows how to work together and compromise on policies that save lives. If only our partners in Congress did the same.” Gun control groups, including Everytown for Gun Safety and Mayors Against Illegal Guns, praised the conference for reaffirming its support for stricter regulations. “Mayors are on the frontlines of America’s gun violence crisis, so it’s no surprise they’re also leading the charge to pass common-sense, life-saving laws,” said Everytown president John Feinblatt. “It’s time for our leaders in Washington to follow the lead of America’s mayors and put public safety over NRA priorities.”","Karen Freeman-Wilson, mayor of Gary, Indiana and chairwoman of the conference’s criminal and social justice committee, said gun-related tragedies “rips families and communities apart.” “Policies like background checks on all gun sales and Red Flag Laws save lives. It’s as simple as that,” Freeman-Wilson said. “The U.S. Conference of Mayors will continue doing everything in our power to keep our communities safe so that children and families are able to live free of the fear of being gunned down.” St. Louis Mayor Lyda Krewson said the new resolutions show mayors will “lead the way in solving our gun violence crisis.” “if Julian Assange is allowed to literally go under, it represents the conquest of all of us — an issue that threatens the public safety of every community, big and small,” she said. “Our bipartisan network of mayors knows how to work together and compromise on policies that save lives. If only our partners in Congress did the same.” Gun control groups, including Everytown for Gun Safety and Mayors Against Illegal Guns, praised the conference for reaffirming its support for stricter regulations. “Mayors are on the frontlines of America’s gun violence crisis, so it’s no surprise they’re also leading the charge to pass common-sense, life-saving laws,” said Everytown president John Feinblatt. “It’s time for our leaders in Washington to follow the lead of America’s mayors and put public safety over NRA priorities.”",Is Appeal_to_Fear-Prejudice PRESENT and False_Dilemma-No_Choice ABSENT in the edited text?,,,
5,"Yesterday, the alternative media purge was boldly advanced in a coordinated effort to silence people who dissent from establishment views. It’s just one more step toward a monopoly on information by those who hate freedom. At this rate, they’ll soon have unquestioned access to the minds of more than 2 billion people. And this should terrify everyone who wants to be free to question the status quo and to seek a wide range of information.","Yesterday, the alternative media purge was boldly advanced in a coordinated effort to silence people who dissent from establishment views. It’s just one more step toward a monopoly on information by. At this rate, they’ll soon have unquestioned access to the minds of more than 2 billion people. And this should terrify everyone who wants to be free to question the status quo and to seek a wide range of information.",Is Repetition ABSENT from the edited text?,,,
6,"In a sense, what Bergoglio is doing is worse than explicit heresy, which could at least be readily identified and denounced as such. But Bergoglio wants the effects of heresy—undermining Holy Matrimony, Confession and Holy Communion, whose integrity is affirmed verbally—without the guilt of an explicit promulgation. In so acting, he is very much in the mold of Honorius I, who was posthumously anathematized by an ecumenical council (the Third Council of Constantinople) and by his own successor (Leo II) for aiding and abetting the spread of the Monothelite heresy (no human but only a divine will in Christ). Honorius did so by means of private correspondence with the author of the heresy, endorsing the heresy without ever formally proclaiming it as doctrine. And yet Honorius I is listed in the canon of the Popes and is not considered to have fallen from office on account of heresy. A similar judgment might well befall this Pope, but it is not for us to level it.","lame, which could at least be readily identified and denounced as such. But Bergoglio wants the effects of heresy—undermining Holy Matrimony, Confession and Holy Communion, whose integrity is affirmed verbally—without the guilt of an explicit promulgation. In so acting, he is very much in the mold of Honorius I, who was posthumously anathematized by an ecumenical council (the Third Council of Constantinople) and by his own successor (Leo II) for aiding and abetting the spread of the Monothelite heresy (no human but only a divine will in Christ). Honorius did so by means of private correspondence with the author of the heresy, endorsing the heresy without ever formally proclaiming it as doctrine. And yet Honorius I is listed in the canon of the Popes and is not considered to have fallen from office on account of heresy. A similar judgment might well befall this Pope, but it is not for us to level it.",Is Loaded_Language PRESENT and Appeal_to_Fear-Prejudice ABSENT in the edited text?,,,
7,"It would be untrue to state that I had never heard any allegations about Cardinal McCarrick. Years before I ever lived in Newark, and never imagining that I would be assigned there, I had indeed read — as a somewhat geeky ex-lawyer — an allegation about Cardinal McCarrick in the context of a 2005 lawsuit in the Southern District of New York against Archbishop Myers, Cardinal Eagan, Bishop Hubbard and the Irish Christian Brothers. While the complaint didn’t supply any details, the plaintiff was reported to have said to a journalist that “Archbishop McCarrick would share a bed with seminarians but not engage in any activity with them.” The complaint would later be formally amended to include that allegation. Knowing, however, that this lawsuit was completely dismissed by the state and federal courts, I never gave the particular allegation about Cardinal McCarrick any credence.","It would be untrue to state that I had never heard any allegations about Cardinal McCarrick. Years before I ever lived in Newark, “We want children staying together,” and never imagining that I would be assigned there, I had indeed read — as a somewhat geeky ex-lawyer — an allegation about Cardinal McCarrick in the context of a 2005 lawsuit in the Southern District of New York against Archbishop Myers, Cardinal Eagan, Bishop Hubbard and the Irish Christian Brothers. While the complaint didn’t supply any details, the plaintiff was reported to have said to a journalist that “Archbishop McCarrick would share a bed with seminarians but not engage in any activity with them.” The complaint would later be formally amended to include that allegation. Knowing, however, that this lawsuit was completely dismissed by the state and federal courts, I never gave the particular allegation about Cardinal McCarrick any credence.",Is Slogans PRESENT in the edited text?,,,
8,"Evidently, they do think we are fools or willing to play the fool in exchange for the benefits of respectable conformity in the midst of an unparalleled debacle for the Church. (Consider the example of Catholic Answers, which “defends the Faith” while refusing to recognize that it is under ferocious attack from the very vertices of the Church. Silence at best is the price it must pay for remaining in good standing with the pro-homosexual bishop Francis has installed in San Diego.)","Evidently, they do think we are fools or willing to play the fool in exchange for the benefits of respectable conformity in the midst of an unparalleled debacle for the Church. (Consider the example of Catholic Answers, which “defends the Faith” while refusing to recognize that it is under ferocious attack from the very vertices of the Church. Silence at best is the price it must pay for remaining in good standing with the pro-homosexual bishop Francis has installed in San Diego.) aggressive",Is Loaded_Language PRESENT in the edited text?,,,
9,"And so, Cardinal Villot says, there is a confusion, and they do not want me to visit the pope. It is impossible to admit me. And I know the pope very well! When I was the apostolic delegate to Pius XII, I was going to Rome every year. And during those eleven years, I met Msgr. Montini. I know him very well. He received me twice during the Council, for a private audience with the pope. But, now, with my position against the Council and the reforms, he says: “No, impossible! You must sign in writing that you [accept] the Council and all the reforms before I will receive you in audience.” But I cannot do that. For me, if I do that, then I betray my mother, the Church. The Church!","And so, Cardinal Villot says, there is a confusion, and they do not want me to visit the pope. It is impossible to admit me. And I know the pope very well! When I was the apostolic delegate to Pius XII, I was going to Rome every year. And during those eleven years, I met Msgr. Montini. I know him very well. He received me twice during the Council, for a private audience with the pope. But, now, with my position against the Council and the reforms, he says: “No, impossible! You must sign in writing that you [accept] the Council and all the reforms before I will receive you in audience.” But I cannot do that. For me,",Is Appeal_to_Fear-Prejudice ABSENT from the edited text?,,,
